barcode,control symbol,title,series,series title,contents dates,contents start year,contents end year,access status,access decision reasons,access decision date
7436673,S13,Protection Against Violence - incident - Hilton Bombing - Commonwealth Heads of Government Regional Meeting - 13 February 1978,A10500,"Protective Security Review files, alpha numeric series",1977 - 1978,1977,1978,Closed,Withheld pending adv,2011-07-13 00:00:00
7494351,JA1985/112,Security Appeals Tribunal hearing Pamela Joy Tan,A432,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1985 - 1985,1985,1985,Closed,Withheld pending adv,2014-01-07 00:00:00
7494358,LT1987/6939,"Reference papers for file LT85/16294 - J Kokotovic, M Nekic, A Zvirotic and M Bebic, V Brajkovic versus Regina - subpoena to produce documents",A432,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1987 - 1987,1987,1987,Closed,Withheld pending adv,2015-02-11 00:00:00
7494363,CDD1988/14225,"Royal Commission on Australia's Security and Intelligence Agencies, Hope Commission, Combe, Foreign Affairs Policy considerations",A432,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1983 - 1983,1983,1983,Closed,Withheld pending adv,2017-07-17 00:00:00
7494372,SEC1988/14532,Espionage allegations concerning Russian Diplomat - Valery Zemskov,A432,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1988 - 1989,1988,1989,Closed,Withheld pending adv,2015-01-28 00:00:00
7494380,SEC1989/14157,Royal Commission on Australia's Security and Intelligence Agencies report on Australian Security Intelligence Organisation recommendations requiring non-legislative implementation,A432,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1989 - 1989,1989,1989,Closed,Withheld pending adv,2017-08-11 00:00:00
7494382,SEC1989/14267,Possible Attorney-General's guidelines to Australian Security Intelligence Organisation on the communication of information on Australian citizens or residents to foreign liaison services,A432,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1989 - 1989,1989,1989,Closed,Withheld pending adv,2016-08-23 00:00:00
7494386,CLE1989/15311,Mutual assistance request to Italy - Bruno Musitano,A432,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1989 - 1990,1989,1990,Closed,Withheld pending adv,2016-06-20 00:00:00
7494397,G11 PART 1,Protective Security Review - Protective Services Co-ordination Centre (PSCC),A10500,"Protective Security Review files, alpha numeric series",1978 - 1978,1978,1978,Closed,Withheld pending adv,2014-12-05 00:00:00
7494405,G21 ATTACHMENT 2,Protective Security Review - Foreign Affairs - Department and Minister,A10500,"Protective Security Review files, alpha numeric series",1973 - 1973,1973,1973,Closed,Withheld pending adv,2012-05-04 00:00:00
7494406,G21 ATTACHMENT 1,Protective Security Review - Foreign Affairs - Department and Minister,A10500,"Protective Security Review files, alpha numeric series",1978 - 1978,1978,1978,Closed,Withheld pending adv,2012-05-04 00:00:00
7525262,1985/12703,Australia/United States Antitrust Co-operation Agreement - Notification by F T C of Investigation into Bell Resources/Weeks Petroleum acquisition of ASARCO,A432,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1985 - 1985,1985,1985,Closed,Withheld pending adv,2014-04-03 00:00:00
